id,title,source,lang,primary_category,secondary_category,difficulty,tags,use_case,parent_id,related_ids,content_type,audience,platform,skill_level,prerequisites,output_format
1,"Killer ChatGPT Prompts: Harness the Power of AI for Success and Profit","Book","en","AI","Productivity","Beginner","prompt-engineering,productivity,business,automation","Learning",0,"2,15,23","Educational","Entrepreneurs","All","Foundational","None","Text"
2,"Unlock the full capabilities of ChatGPT at work, at home, and in your day-to-day","Book","en","AI","Productivity","Beginner","workflow,automation,daily-tasks,efficiency","Productivity",1,"1,3,16","Educational","Professionals","All","Beginner","Basic AI knowledge","Text"
3,"Perfect prompts for sales and marketing","Book","en","Business","Marketing","Intermediate","sales,copywriting,conversion,ads,lead-generation","Marketing",0,"4,5,17","Templates","Marketers","Business","Intermediate","Marketing basics","Scripts"
4,"Perfect prompts for web development roles","Book","en","Technology","Web Development","Intermediate","coding,programming,frontend,backend,debugging","Development",3,"3,6,18","Code","Developers","Technical","Intermediate","Programming knowledge","Code"
5,"Use cases for ChatGPT in the home","Book","en","Lifestyle","Home","Beginner","smart-home,recipes,organization,diy,family","Home Automation",0,"1,6,19","Guides","Homeowners","Consumer","Beginner","None","Instructions"
6,"Use cases for ChatGPT with children","Book","en","Education","Children","Beginner","parenting,learning,activities,safety,education","Family",5,"5,7,20","Activities","Parents","Family","Beginner","None","Interactive"
7,"Use cases for ChatGPT in relationships","Book","en","Lifestyle","Relationships","Beginner","communication,dating,marriage,family,psychology","Personal Growth",6,"6,8,21","Advice","Adults","Personal","Beginner","None","Conversational"
8,"Hundreds more prompts to simplify your day-to-day","Book","en","Productivity","Daily Tasks","Beginner","time-management,organization,efficiency,routine","Productivity",2,"2,9,22","Templates","Everyone","All","Beginner","None","Checklists"
9,"Study more efficiently using AI tools","Book","en","Education","Study Techniques","Intermediate","learning,research,academic,student,retention","Education",8,"8,10,23","Methods","Students","Academic","Intermediate","Study habits","Study Plans"
10,"Keyword search techniques using ChatGPT","Book","en","Technology","SEO","Intermediate","seo,keywords,research,analytics,ranking","Marketing",9,"9,11,24","Strategies","Marketers","Business","Intermediate","SEO basics","Keywords"
11,"Annotating text efficiently with ChatGPT","Book","en","Education","Research","Intermediate","research,analysis,academic,writing,critical-thinking","Research",10,"10,12,25","Methods","Researchers","Academic","Intermediate","Research skills","Annotations"
12,"Listen to content instead: Text-to-speech with ChatGPT","Book","en","Technology","Accessibility","Beginner","accessibility,audio,learning,multimodal,inclusive","Accessibility",11,"11,13,26","Tools","Everyone","All","Beginner","None","Audio"
13,"Trusted by 375,005 students: Using AI for learning","Book","en","Education","AI Learning","Beginner","education,students,courses,online-learning,adaptive","Education",12,"12,14,27","Case Study","Students","Educational","Beginner","None","Examples"
14,"Develop your presentation skills with AI","Book","en","Business","Professional Development","Intermediate","presentation,public-speaking,communication,storytelling","Professional",13,"13,15,28","Framework","Professionals","Business","Intermediate","Basic presenting","Structures"
15,"Business skills enhanced with ChatGPT prompts","Book","en","Business","Skills","Intermediate","leadership,management,communication,negotiation","Professional",14,"14,16,29","Methods","Managers","Business","Intermediate","Work experience","Frameworks"
16,"Remote work revolution using AI assistance","Book","en","Business","Remote Work","Intermediate","remote-work,collaboration,productivity,communication","Work",15,"15,17,30","Strategies","Remote Workers","Digital","Intermediate","Remote work setup","Processes"
17,"Success is a choice: leveraging AI to improve","Book","en","Business","Success","Advanced","mindset,strategy,growth,entrepreneurship,vision","Entrepreneurship",16,"16,18,31","Philosophy","Entrepreneurs","Business","Advanced","Business experience","Principles"
18,"The Hard Thing About Hard Things: Lessons in AI context","Book","en","Business","Management","Advanced","management,leadership,decision-making,crisis,strategy","Leadership",17,"17,19,32","Case Study","Executives","Business","Advanced","Management role","Lessons"
19,"AI-powered lesson plans and educational content","Book","en","Education","Teaching","Intermediate","teaching,curriculum,lesson-planning,pedagogy","Education",18,"18,20,33","Templates","Educators","Academic","Intermediate","Teaching experience","Lesson Plans"
20,"Advanced prompt engineering techniques","Book","en","AI","Advanced Techniques","Advanced","prompt-engineering,optimization,advanced,chain-of-thought","Technical",19,"19,21,34","Methods","Developers","Technical","Advanced","Programming","Code"
21,"Creative writing with AI assistance","Book","en","Creative","Writing","Intermediate","writing,storytelling,creative,content,narrative","Creative",20,"20,22,35","Exercises","Writers","Creative","Intermediate","Writing interest","Stories"
22,"Data analysis and visualization prompts","Book","en","Technology","Data Science","Advanced","data-analysis,visualization,analytics,insights","Analytics",21,"21,23,36","Methods","Analysts","Technical","Advanced","Data skills","Visualizations"
23,"Customer service automation with ChatGPT","Book","en","Business","Customer Service","Intermediate","customer-service,automation,support,efficiency","Support",22,"22,24,37","Templates","Support Teams","Business","Intermediate","Customer service","Scripts"
24,"Social media content creation with AI","Book","en","Marketing","Social Media","Beginner","social-media,content,creation,engagement,viral","Content Creation",23,"23,25,38","Templates","Content Creators","Social","Beginner","Social media accounts","Posts"
25,"Email marketing campaigns that convert","Book","en","Marketing","Email","Intermediate","email,marketing,campaigns,conversion,automation","Marketing",24,"24,26,39","Templates","Marketers","Business","Intermediate","Email platform","Emails"
26,"Personal finance management with AI","Book","en","Finance","Personal Finance","Beginner","finance,budgeting,investing,savings,planning","Financial Planning",25,"25,27,40","Tools","Individuals","Personal","Beginner","None","Plans"
27,"Health and wellness coaching prompts","Book","en","Health","Wellness","Beginner","health,wellness,fitness,nutrition,mental-health","Wellness",26,"26,28,41","Guides","Individuals","Health","Beginner","None","Routines"
28,"Technical interview preparation with AI","Book","en","Career","Interviews","Intermediate","interviews,technical,preparation,coding,problems","Career Development",27,"27,29,42","Exercises","Job Seekers","Professional","Intermediate","Technical background","Solutions"
29,"Academic research paper writing","Book","en","Education","Academic Writing","Advanced","research,papers,academic,citation,analysis","Research",28,"28,30,43","Framework","Researchers","Academic","Advanced","Research topic","Papers"
30,"Legal document analysis and generation","Book","en","Professional","Legal","Advanced","legal,documents,analysis,compliance,contracts","Professional",29,"29,31,44","Templates","Legal Professionals","Business","Advanced","Legal knowledge","Documents"
31,"Real estate marketing and analysis","Book","en","Business","Real Estate","Intermediate","real-estate,marketing,analysis,property,investment","Business",30,"30,32,45","Tools","Agents","Business","Intermediate","Real estate basics","Reports"
32,"E-commerce product descriptions and SEO","Book","en","Business","E-commerce","Intermediate","ecommerce,seo,product-descriptions,conversion","Marketing",31,"31,33,46","Templates","Store Owners","Business","Intermediate","E-commerce platform","Descriptions"
33,"Music composition and theory with AI","Book","en","Creative","Music","Intermediate","music,composition,theory,creative,production","Creative",32,"32,34,47","Exercises","Musicians","Creative","Intermediate","Music basics","Compositions"
34,"Game development concepts and design","Book","en","Technology","Game Dev","Advanced","gaming,development,design,mechanics,storytelling","Development",33,"33,35,48","Concepts","Developers","Technical","Advanced","Programming","Designs"
35,"Language learning and practice","Book","en","Education","Language","Beginner","language,learning,practice,conversation,grammar","Education",34,"34,36,49","Exercises","Language Learners","Educational","Beginner","None","Dialogues"
36,"Travel planning and itinerary generation","Book","en","Lifestyle","Travel","Beginner","travel,planning,itinerary,vacation,recommendations","Planning",35,"35,37,50","Tools","Travelers","Personal","Beginner","None","Itineraries"
37,"Cooking recipes and meal planning","Book","en","Lifestyle","Food","Beginner","cooking,recipes,meal-planning,nutrition,health","Home",36,"36,38,51","Recipes","Home Cooks","Personal","Beginner","None","Recipes"
38,"Fitness training programs and tracking","Book","en","Health","Fitness","Intermediate","fitness,training,exercise,workout,health","Wellness",37,"37,39,52","Programs","Fitness Enthusiasts","Health","Intermediate","Fitness basics","Workouts"
39,"Mental health support and mindfulness","Book","en","Health","Mental Health","Beginner","mental-health,mindfulness,therapy,wellbeing,self-care","Wellness",38,"38,40,53","Exercises","Everyone","Personal","Beginner","None","Practices"
40,"Startup business plan development","Book","en","Business","Entrepreneurship","Advanced","startup,business-plan,strategy,funding,pitching","Entrepreneurship",39,"39,41,54","Templates","Entrepreneurs","Business","Advanced","Business idea","Plans"
41,"Digital art and design concepts","Book","en","Creative","Art","Intermediate","art,design,creative,visual,concepts","Creative",40,"40,42,55","Exercises","Artists","Creative","Intermediate","Art interest","Concepts"
42,"Video script writing and production","Book","en","Creative","Video","Intermediate","video,scripting,production,storytelling,editing","Content Creation",41,"41,43,56","Templates","Creators","Media","Intermediate","Video interest","Scripts"
43,"Podcast episode planning and scripting","Book","en","Creative","Audio","Intermediate","podcast,audio,scripting,interviewing,production","Content Creation",42,"42,44,57","Templates","Podcasters","Audio","Intermediate","Recording equipment","Scripts"
44,"Scientific research methodology","Book","en","Science","Research","Advanced","science,research,methodology,experiments,analysis","Research",43,"43,45,58","Framework","Scientists","Academic","Advanced","Scientific background","Methods"
45,"Mathematics problem solving techniques","Book","en","Education","Mathematics","Intermediate","mathematics,problem-solving,calculus,algebra,analysis","Education",44,"44,46,59","Methods","Students","Academic","Intermediate","Math foundation","Solutions"
46,"Philosophical discussions and critical thinking","Book","en","Education","Philosophy","Advanced","philosophy,critical-thinking,ethics,logic,debate","Education",45,"45,47,60","Dialogues","Thinkers","Academic","Advanced","None","Essays"
47,"Historical analysis and perspectives","Book","en","Education","History","Intermediate","history,analysis,perspectives,research,context","Education",46,"46,48,61","Analysis","Historians","Academic","Intermediate","Historical knowledge","Analyses"
48,"Environmental science and sustainability","Book","en","Science","Environment","Intermediate","environment,sustainability,climate,science,ecology","Science",47,"47,49,62","Research","Environmentalists","Scientific","Intermediate","Science basics","Reports"
